FIPS,Population,White,Black,Native,Asian,Pacific_Islander,Other,Multiracial,Percentage_White,Percentage_Black,Percentage_Native,Percentage_Asian,Percentage_Pacific_Islander,Percentage_Other,Percentage_Multiracial,Percentage_Nonwhite,Percent_Hispanic,Percentage_Household_Poverty,Percentage_DifferentHouseOneYearAgo,Percentage_AbroadOneYearAgo,MedianAge_Total,MedianAge_Male,MedianAge_Female
250250005024,3395,2718,129,0,439,0,37,72,80.05891016,3.799705449,0,12.93078056,0,1.089837997,2.120765832,19.94108984,7.982326951,,45.15463918,1.973490427,20.7,20.7,20.6
250250005031,731,546,0,18,51,0,0,116,74.69220246,0,2.462380301,6.976744186,0,0,15.86867305,25.30779754,4.924760602,30.24390244,38.44049248,3.830369357,27.1,27.9,23.8
250250005032,1365,1174,34,0,106,0,22,29,86.00732601,2.490842491,0,7.765567766,0,1.611721612,2.124542125,13.99267399,5.201465201,27.19512195,29.52380952,4.322344322,28.4,28.8,28.2
250250005041,1008,900,11,53,29,0,0,15,89.28571429,1.091269841,5.257936508,2.876984127,0,0,1.488095238,10.71428571,11.40873016,22.5631769,27.08333333,0,29.3,27,31.7
250250005042,1287,889,144,0,182,0,11,61,69.07536908,11.18881119,0,14.14141414,0,0.854700855,4.73970474,30.92463092,6.293706294,32.96158612,11.16389549,6.175771971,30.8,29.9,35.7
250250005043,1062,872,26,0,91,0,28,45,82.10922787,2.448210923,0,8.56873823,0,2.63653484,4.237288136,17.89077213,12.0527307,32.51748252,24.95291902,9.133709981,27.7,30.2,27.3
250250005044,792,653,21,13,73,0,0,32,82.44949495,2.651515152,1.641414141,9.217171717,0,0,4.04040404,17.55050505,0,37.24604966,20.83333333,0,35.1,35.8,27.6
250250006011,740,575,5,0,123,0,0,37,77.7027027,0.675675676,0,16.62162162,0,0,5,22.2972973,7.027027027,16.78832117,21.20383037,0,29,28.6,43.9
250250006012,1117,673,32,0,371,0,41,0,60.25067144,2.864816473,0,33.21396598,0,3.670546106,0,39.74932856,9.310653536,15.88235294,26.69104205,0,28.3,29.7,27.9
250250006013,561,475,20,11,55,0,0,0,84.67023173,3.565062389,1.960784314,9.803921569,0,0,0,15.32976827,6.951871658,17.3553719,17.64705882,1.247771836,28.3,27.9,28.7
250250006014,876,604,26,0,140,0,96,10,68.94977169,2.96803653,0,15.98173516,0,10.95890411,1.141552511,31.05022831,14.9543379,18.32061069,10.38812785,0,28.2,26.1,29.1
250250006021,1464,978,135,0,240,0,7,104,66.80327869,9.221311475,0,16.39344262,0,0.478142077,7.103825137,33.19672131,7.103825137,25.71428571,21.37978142,2.663934426,27.1,26.3,27.9
250250006022,886,653,49,12,142,0,0,30,73.7020316,5.530474041,1.354401806,16.02708804,0,0,3.386004515,26.2979684,8.465011287,25.64102564,30.248307,3.16027088,27.7,29.1,27.2
250250006023,1177,514,275,0,156,0,228,4,43.67034834,23.36448598,0,13.25403568,0,19.37128292,0.339847069,56.32965166,33.72982158,56.93548387,13.08411215,0,28.8,29.9,28.2
250250007011,866,484,120,10,157,0,18,77,55.8891455,13.85681293,1.154734411,18.12933025,0,2.07852194,8.891454965,44.1108545,8.660508083,23.25056433,27.13625866,2.424942263,29,30.3,25.7
250250007012,349,178,65,0,103,0,1,2,51.00286533,18.62464183,0,29.51289398,0,0.286532951,0.573065903,48.99713467,10.6017192,49.06542056,26.93409742,2.578796562,25.5,25.7,24.8
250250007013,522,343,8,37,114,0,8,12,65.70881226,1.53256705,7.088122605,21.83908046,0,1.53256705,2.298850575,34.29118774,14.36781609,35.10638298,22.60536398,2.298850575,29.1,29.6,28.1
250250007014,641,498,14,0,89,24,0,16,77.69110764,2.184087363,0,13.88455538,3.744149766,0,2.496099844,22.30889236,0,23.77850163,37.5975039,4.056162246,29.1,28.7,29.3
250250007015,1399,924,16,0,417,0,0,42,66.04717655,1.143674053,0,29.807005,0,0,3.002144389,33.95282345,13.50964975,16.4556962,35.88277341,18.4417441,26.1,26.9,25.7
250250007031,945,462,152,0,297,0,17,17,48.88888889,16.08465608,0,31.42857143,0,1.798941799,1.798941799,51.11111111,8.253968254,38.17427386,32.69230769,2.457264957,24.8,27.5,22.9
250250007032,1201,811,115,0,258,0,17,0,67.52706078,9.575353872,0,21.48209825,0,1.415487094,0,32.47293922,9.658617818,43.47826087,36.30308077,8.992506245,22.4,24.2,21.7
250250007041,1849,1271,61,1,329,0,161,26,68.73985938,3.299080584,0.054083288,17.79340184,0,8.70740941,1.406165495,31.26014062,6.327744727,33.62720403,18.98323418,2.271498107,25.9,25.7,27.3
250250007042,705,448,54,0,134,0,32,37,63.54609929,7.659574468,0,19.0070922,0,4.539007092,5.24822695,36.45390071,6.808510638,22.5877193,34.60992908,3.120567376,26,28.2,25.4
250250007043,973,794,17,0,63,0,14,85,81.6032888,1.74717369,0,6.474820144,0,1.438848921,8.735868448,18.3967112,8.530318602,21.17647059,34.96868476,5.010438413,25.8,28.1,25
250250007044,734,225,146,0,235,0,110,18,30.65395095,19.89100817,0,32.01634877,0,14.98637602,2.452316076,69.34604905,31.19891008,32.97297297,19.34604905,1.498637602,33.3,33.2,34.4
250250008021,1084,932,42,0,63,0,0,47,85.97785978,3.874538745,0,5.811808118,0,0,4.335793358,14.02214022,14.02214022,38.08290155,44.00369004,1.660516605,23.6,24.3,22.9
250250008022,1878,1164,154,0,141,0,182,237,61.98083067,8.200212993,0,7.50798722,0,9.691160809,12.61980831,38.01916933,24.49414271,34.48873484,27.31629393,0.745473908,25.6,25.8,25.3
250250008023,879,343,94,0,66,0,330,46,39.02161547,10.69397042,0,7.508532423,0,37.54266212,5.233219568,60.97838453,53.81114903,23.28042328,9.101251422,0,29.1,30.9,22.2
250250008024,1770,1058,130,12,330,0,111,129,59.7740113,7.344632768,0.677966102,18.6440678,0,6.271186441,7.288135593,40.2259887,21.52542373,31.90883191,19.45392491,1.64960182,34.9,34.9,34.9
250250008025,1509,802,48,0,402,0,211,46,53.14777999,3.180914513,0,26.64015905,0,13.98277005,3.048376408,46.85222001,21.33863486,36.90303907,30.15241882,6.626905235,25.3,26,24.6
250250008031,2645,1804,211,0,506,0,28,96,68.20415879,7.97731569,0,19.13043478,0,1.058601134,3.629489603,31.79584121,13.15689981,33.73676248,38.50247054,10.11022425,27.1,27.7,26.7
250250008032,3589,2616,183,0,554,0,78,158,72.88938423,5.098913346,0,15.43605461,0,2.173307328,4.402340485,27.11061577,10.69935915,,49.40094734,7.188631931,20.1,20.2,20
250250101031,1075,630,19,0,300,0,13,113,58.60465116,1.76744186,0,27.90697674,0,1.209302326,10.51162791,41.39534884,10.13953488,29.6969697,49.76744186,14.79069767,19.8,23.1,19.4
250250101032,1037,557,64,5,306,0,71,34,53.71263259,6.171648987,0.482160077,29.50819672,0,6.846673095,3.278688525,46.28736741,16.29701061,45.45454545,47.83027965,7.521697203,19.7,19.8,19.7
250250101033,1509,1027,112,0,239,0,61,70,68.05831677,7.422133863,0,15.83830351,0,4.042412194,4.638833665,31.94168323,11.398277,56,53.28031809,4.903909874,20.2,20.2,20.3
250250101041,1331,1134,48,0,109,0,31,9,85.19909842,3.606311044,0,8.18933133,0,2.329075883,0.676183321,14.80090158,6.987227648,9.04109589,30.78668684,9.455370651,33.3,32.9,33.3
250250101042,2358,1605,87,0,504,0,64,98,68.06615776,3.68956743,0,21.3740458,0,2.714164546,4.156064461,31.93384224,10.30534351,25,44.10517388,6.064461408,20.7,20.6,20.7
250250101043,1095,658,17,0,192,0,37,191,60.0913242,1.552511416,0,17.53424658,0,3.378995434,17.44292237,39.9086758,14.15525114,37.14859438,45.75342466,3.561643836,26.4,26,27
250250102031,1166,975,43,0,79,0,69,0,83.61921098,3.687821612,0,6.775300172,0,5.917667238,0,16.38078902,23.49914237,58.65546218,52.05831904,13.29331046,24.2,23.2,24.6
250250102032,1920,1362,0,0,416,0,84,58,70.9375,0,0,21.66666667,0,4.375,3.020833333,29.0625,16.875,39.50511945,46.26467449,5.016008538,27.4,28.5,26
250250102033,1621,1201,122,9,196,0,81,12,74.09006786,7.526218384,0.555212832,12.09130167,0,4.996915484,0.740283775,25.90993214,16.28624306,40.67307692,32.57248612,3.392967304,29.7,31.8,29.2
250250102034,265,174,43,0,28,0,20,0,65.66037736,16.22641509,0,10.56603774,0,7.547169811,0,34.33962264,7.547169811,23.55769231,30.94339623,5.660377358,29.7,37.8,24.4
250250102041,1175,760,47,0,290,8,68,2,64.68085106,4,0,24.68085106,0.680851064,5.787234043,0.170212766,35.31914894,10.29787234,50.83333333,50.80851064,7.829787234,20.5,20.7,20.5
250250102042,1279,814,19,0,371,0,11,64,63.64347146,1.485535575,0,29.00703675,0,0.860046912,5.003909304,36.35652854,5.238467553,31.96721311,42.9241595,10.16419077,22,22.3,21.8
250250102043,906,524,8,0,330,0,26,18,57.83664459,0.883002208,0,36.42384106,0,2.869757174,1.986754967,42.16335541,2.869757174,42.39631336,54.96688742,11.69977925,24.3,26.1,24
250250103001,1392,1075,113,13,61,0,104,26,77.22701149,8.117816092,0.933908046,4.382183908,0,7.471264368,1.867816092,22.77298851,15.58908046,50,33.69252874,14.65517241,20.3,20.2,20.5
250250103002,3841,2897,209,4,531,6,117,77,75.42306691,5.44129133,0.104139547,13.82452486,0.15620932,3.04608175,2.00468628,24.57693309,6.534756574,2.985074627,39.6771674,4.139546993,20.2,20.7,20.1
250250104031,1216,718,103,0,383,0,0,12,59.04605263,8.470394737,0,31.49671053,0,0,0.986842105,40.95394737,4.605263158,56.39751553,27.05592105,15.87171053,28.9,28.8,41.2
250250104032,779,406,39,0,187,0,114,33,52.11810013,5.006418485,0,24.00513479,0,14.63414634,4.236200257,47.88189987,28.49807445,37.5,21.30937099,7.188703466,33.1,35.8,28.5
250250104033,880,635,18,25,96,0,0,106,72.15909091,2.045454545,2.840909091,10.90909091,0,0,12.04545455,27.84090909,11.02272727,21.14285714,32.84090909,0,32.6,38.2,27.9
250250104041,1787,1240,224,0,297,14,0,12,69.39003917,12.53497482,0,16.62003358,0.783435926,0,0.671516508,30.60996083,10.07274762,54.44964871,53.90668915,12.0292299,22.5,22.8,22.2
250250104042,1694,1083,76,13,413,0,69,40,63.93152302,4.486422668,0.767414404,24.38016529,0,4.073199528,2.361275089,36.06847698,8.736717828,48.90510949,54.36835891,15.11216057,19.9,19.8,20.2
250250104043,1686,1226,83,0,258,0,70,49,72.71648873,4.922894425,0,15.3024911,0,4.151838671,2.90628707,27.28351127,12.57413998,48.30097087,53.85527877,10.91340451,19.8,19.8,19.9
250250104051,2848,2103,220,0,279,5,91,150,73.84129213,7.724719101,0,9.796348315,0.175561798,3.195224719,5.266853933,26.15870787,7.373595506,100,46.5238764,4.634831461,20.4,20.7,20.2
250250104052,2452,1787,192,0,320,7,52,94,72.87928222,7.830342577,0,13.05057096,0.28548124,2.120717781,3.83360522,27.12071778,10.88907015,34.2519685,51.79086044,10.33347056,20.5,20.7,20.4
250250104053,647,354,80,0,188,0,16,9,54.71406491,12.36476043,0,29.05718702,0,2.472952087,1.391035549,45.28593509,20.24729521,53.97727273,23.18392581,4.791344668,55.7,50.5,68.2
250250104081,1484,1065,59,0,336,0,9,15,71.76549865,3.97574124,0,22.64150943,0,0.606469003,1.010781671,28.23450135,8.692722372,14.79028698,38.99796886,10.02031144,28.8,29.2,28.7
250250105001,1053,761,66,0,186,0,27,13,72.2697056,6.267806268,0,17.66381766,0,2.564102564,1.234567901,27.7302944,10.54131054,25.87209302,55.36562203,8.262108262,22,20.3,24.8
